Wall time,Step,Value
1618124107.4415915,5538,63.11323547363281
1618124116.2722313,5539,296.78594970703125
1618124130.464263,5541,265.70294189453125
1618124138.8516116,5542,274.9201354980469
1618124153.870065,5543,99.68508911132812
1618124165.2350967,5544,264.65484619140625
1618124173.0135157,5545,309.0021667480469
1618124188.5380242,5546,85.83171081542969
1618124203.8956897,5547,1.1658854484558105
1618124212.2327492,5548,277.131591796875
1618124217.9520495,5549,264.4383850097656
1618124225.417556,5550,255.4486541748047
1618124233.4014902,5551,258.39501953125
1618124241.6371207,5552,290.7396545410156
1618124256.9129226,5553,64.5179214477539
1618124266.9757566,5554,269.4875793457031
1618124275.5289316,5555,267.5560302734375
1618124288.4617593,5556,263.31146240234375
1618124305.4669945,5558,275.4744873046875
1618124319.9876866,5559,266.82232666015625
1618124325.742031,5560,273.9192810058594
1618124331.9704206,5561,259.72247314453125
1618124339.2693954,5562,268.77935791015625
1618124346.2248545,5563,279.0447692871094
1618124353.0279145,5564,252.62196350097656
1618124368.3047163,5565,58.107643127441406
1618124381.6308322,5566,260.0809631347656
1618124390.3651524,5567,273.84625244140625
1618124398.6819274,5568,287.5057373046875
1618124413.936834,5569,131.8960723876953
1618124424.9974484,5570,242.6940460205078
1618124430.9809365,5571,250.38906860351562
1618124441.7324486,5572,252.68727111816406
1618124447.3685594,5573,243.64151000976562
1618124462.2567432,5574,153.87562561035156
1618124468.1010773,5575,248.67347717285156
1618124480.26415,5576,258.5869140625
1618124488.0048122,5577,258.1782531738281
1618124496.677037,5578,276.9886474609375
1618124511.8315103,5579,86.97483825683594
1618124521.8253863,5580,211.033447265625
1618124527.5120676,5581,264.5368957519531
1618124542.878885,5582,122.71641540527344
1618124549.174527,5583,248.26007080078125
1618124564.3406262,5584,22.45336151123047
1618124579.733611,5585,142.291748046875
1618124586.1234136,5586,241.28121948242188
1618124592.1878474,5587,282.59600830078125
1618124599.5334487,5588,254.41549682617188
1618124611.4008663,5589,177.837890625
1618124618.496114,5590,256.4835205078125
1618124626.0730824,5591,230.01856994628906
1618124636.7252207,5592,269.6181335449219
1618124643.9578073,5593,249.97225952148438
1618124656.5314536,5594,260.840576171875
1618124661.344671,5595,36.87284851074219
1618124666.1035845,5596,62.531192779541016
1618124673.743653,5597,255.32928466796875
1618124681.721556,5598,244.46868896484375
1618124689.2938638,5599,271.49114990234375
1618124701.4823499,5600,247.32919311523438
1618124709.2344477,5601,244.25088500976562
1618124724.5105257,5602,99.26074981689453
1618124733.359029,5603,294.6683349609375
1618124745.5002718,5605,269.437744140625
1618124754.0690072,5606,301.0687561035156
1618124759.6568367,5607,274.2431335449219
1618124766.895157,5608,294.886474609375
1618124776.5812297,5609,279.4789733886719
1618124783.4195755,5610,279.98614501953125
1618124792.4326825,5611,306.6483154296875
1618124804.0404146,5612,255.72377014160156
1618124809.9287841,5613,251.93600463867188
1618124816.7918172,5614,276.15673828125
1618124825.2448523,5615,263.390869140625
1618124832.5861053,5616,258.156005859375
1618124841.774895,5617,230.76637268066406
1618124849.9609404,5618,240.1728973388672
1618124859.467663,5619,240.15843200683594
1618124880.5527067,5621,86.79833984375
1618124886.9548502,5622,291.8115234375
1618124897.1704636,5623,246.86669921875
1618124903.6924238,5624,273.98223876953125
1618124910.9972527,5625,264.5696105957031
1618124917.1667514,5626,255.8364715576172
1618124923.9929404,5627,297.9536437988281
1618124930.0053487,5628,304.3141174316406
1618124935.8052125,5629,305.2060546875
1618124944.492662,5630,264.00360107421875
1618124950.2196357,5631,250.51101684570312
1618124958.4803066,5632,303.7376708984375
1618124964.5230894,5633,306.4900817871094
1618124970.6878445,5634,254.35562133789062
1618124979.3320587,5635,259.57489013671875
1618124987.3596933,5636,266.43646240234375
1618125002.456487,5637,-117.8593978881836
1618125012.051546,5638,244.40074157714844
1618125027.1284635,5639,167.75302124023438
1618125033.518636,5640,244.92535400390625
1618125041.690345,5641,257.9329528808594
1618125050.4855578,5642,302.95550537109375
1618125061.1223714,5643,259.063232421875
1618125069.0556161,5644,266.6040954589844
1618125079.0693128,5645,258.9853210449219
1618125084.5952263,5646,280.36669921875
1618125092.787933,5647,214.626708984375
1618125113.0851917,5649,271.6225891113281
1618125123.0079467,5650,247.00881958007812
1618125130.4856517,5651,273.5093994140625
1618125139.6736379,5652,268.31976318359375
